opcode_hex,mnemonic,cpu_level
0x007C,ORSR,0
0x00D0,CHK2,2
0x00D1,CHK2,2
0x00D2,CHK2,2
0x00D3,CHK2,2
0x00D4,CHK2,2
0x00D5,CHK2,2
0x00D6,CHK2,2
0x00D7,CHK2,2
0x00E8,CHK2,2
0x00E9,CHK2,2
0x00EA,CHK2,2
0x00EB,CHK2,2
0x00EC,CHK2,2
0x00ED,CHK2,2
0x00EE,CHK2,2
0x00EF,CHK2,2
0x00F0,CHK2,2
0x00F1,CHK2,2
0x00F2,CHK2,2
0x00F3,CHK2,2
0x00F4,CHK2,2
0x00F5,CHK2,2
0x00F6,CHK2,2
0x00F7,CHK2,2
0x00F8,CHK2,2
0x00F9,CHK2,2
0x00FA,CHK2,2
0x00FB,CHK2,2
0x0108,MVPMR,0
0x0109,MVPMR,0
0x010A,MVPMR,0
0x010B,MVPMR,0
0x010C,MVPMR,0
0x010D,MVPMR,0
0x010E,MVPMR,0
0x010F,MVPMR,0
0x0148,MVPMR,0
0x0149,MVPMR,0
0x014A,MVPMR,0
0x014B,MVPMR,0
0x014C,MVPMR,0
0x014D,MVPMR,0
0x014E,MVPMR,0
0x014F,MVPMR,0
0x0188,MVPRM,0
0x0189,MVPRM,0
0x018A,MVPRM,0
0x018B,MVPRM,0
0x018C,MVPRM,0
0x018D,MVPRM,0
0x018E,MVPRM,0
0x018F,MVPRM,0
0x01C8,MVPRM,0
0x01C9,MVPRM,0
0x01CA,MVPRM,0
0x01CB,MVPRM,0
0x01CC,MVPRM,0
0x01CD,MVPRM,0
0x01CE,MVPRM,0
0x01CF,MVPRM,0
0x027C,ANDSR,0
0x02D0,CHK2,2
0x02D1,CHK2,2
0x02D2,CHK2,2
0x02D3,CHK2,2
0x02D4,CHK2,2
0x02D5,CHK2,2
0x02D6,CHK2,2
0x02D7,CHK2,2
0x02E8,CHK2,2
0x02E9,CHK2,2
0x02EA,CHK2,2
0x02EB,CHK2,2
0x02EC,CHK2,2
0x02ED,CHK2,2
0x02EE,CHK2,2
0x02EF,CHK2,2
0x02F0,CHK2,2
0x02F1,CHK2,2
0x02F2,CHK2,2
0x02F3,CHK2,2
0x02F4,CHK2,2
0x02F5,CHK2,2
0x02F6,CHK2,2
0x02F7,CHK2,2
0x02F8,CHK2,2
0x02F9,CHK2,2
0x02FA,CHK2,2
0x02FB,CHK2,2
0x0308,MVPMR,0
0x0309,MVPMR,0
0x030A,MVPMR,0
0x030B,MVPMR,0
0x030C,MVPMR,0
0x030D,MVPMR,0
0x030E,MVPMR,0
0x030F,MVPMR,0
0x0348,MVPMR,0
0x0349,MVPMR,0
0x034A,MVPMR,0
0x034B,MVPMR,0
0x034C,MVPMR,0
0x034D,MVPMR,0
0x034E,MVPMR,0
0x034F,MVPMR,0
0x0388,MVPRM,0
0x0389,MVPRM,0
0x038A,MVPRM,0
0x038B,MVPRM,0
0x038C,MVPRM,0
0x038D,MVPRM,0
0x038E,MVPRM,0
0x038F,MVPRM,0
0x03C8,MVPRM,0
0x03C9,MVPRM,0
0x03CA,MVPRM,0
0x03CB,MVPRM,0
0x03CC,MVPRM,0
0x03CD,MVPRM,0
0x03CE,MVPRM,0
0x03CF,MVPRM,0
0x04D0,CHK2,2
0x04D1,CHK2,2
0x04D2,CHK2,2
0x04D3,CHK2,2
0x04D4,CHK2,2
0x04D5,CHK2,2
0x04D6,CHK2,2
0x04D7,CHK2,2
0x04E8,CHK2,2
0x04E9,CHK2,2
0x04EA,CHK2,2
0x04EB,CHK2,2
0x04EC,CHK2,2
0x04ED,CHK2,2
0x04EE,CHK2,2
0x04EF,CHK2,2
0x04F0,CHK2,2
0x04F1,CHK2,2
0x04F2,CHK2,2
0x04F3,CHK2,2
0x04F4,CHK2,2
0x04F5,CHK2,2
0x04F6,CHK2,2
0x04F7,CHK2,2
0x04F8,CHK2,2
0x04F9,CHK2,2
0x04FA,CHK2,2
0x04FB,CHK2,2
0x0508,MVPMR,0
0x0509,MVPMR,0
0x050A,MVPMR,0
0x050B,MVPMR,0
0x050C,MVPMR,0
0x050D,MVPMR,0
0x050E,MVPMR,0
0x050F,MVPMR,0
0x0548,MVPMR,0
0x0549,MVPMR,0
0x054A,MVPMR,0
0x054B,MVPMR,0
0x054C,MVPMR,0
0x054D,MVPMR,0
0x054E,MVPMR,0
0x054F,MVPMR,0
0x0588,MVPRM,0
0x0589,MVPRM,0
0x058A,MVPRM,0
0x058B,MVPRM,0
0x058C,MVPRM,0
0x058D,MVPRM,0
0x058E,MVPRM,0
0x058F,MVPRM,0
0x05C8,MVPRM,0
0x05C9,MVPRM,0
0x05CA,MVPRM,0
0x05CB,MVPRM,0
0x05CC,MVPRM,0
0x05CD,MVPRM,0
0x05CE,MVPRM,0
0x05CF,MVPRM,0
0x06C0,RTM,2
0x06C1,RTM,2
0x06C2,RTM,2
0x06C3,RTM,2
0x06C4,RTM,2
0x06C5,RTM,2
0x06C6,RTM,2
0x06C7,RTM,2
0x06C8,RTM,2
0x06C9,RTM,2
0x06CA,RTM,2
0x06CB,RTM,2
0x06CC,RTM,2
0x06CD,RTM,2
0x06CE,RTM,2
0x06CF,RTM,2
0x06D0,CALLM,2
0x06D1,CALLM,2
0x06D2,CALLM,2
0x06D3,CALLM,2
0x06D4,CALLM,2
0x06D5,CALLM,2
0x06D6,CALLM,2
0x06D7,CALLM,2
0x06E8,CALLM,2
0x06E9,CALLM,2
0x06EA,CALLM,2
0x06EB,CALLM,2
0x06EC,CALLM,2
0x06ED,CALLM,2
0x06EE,CALLM,2
0x06EF,CALLM,2
0x06F0,CALLM,2
0x06F1,CALLM,2
0x06F2,CALLM,2
0x06F3,CALLM,2
0x06F4,CALLM,2
